tournament,surface,round,player_1,player_2,player_1_rank,player_2_rank,player_1_bet365,player_2_bet365,player_1_pinnacle,player_2_pinnacle,winner
Australian Open,Hard,1st Round,Watanuki Y.,Rinderknech A.,138.0,59.0,2.3,1.62,2.18,1.77,1
Australian Open,Hard,1st Round,Etcheverry T.,Barrere G.,79.0,83.0,2.3,1.62,2.43,1.63,1
Australian Open,Hard,1st Round,Cerundolo F.,Pella G.,29.0,181.0,1.13,6.0,1.17,6.06,1
Australian Open,Hard,1st Round,Hurkacz H.,Martinez P.,11.0,60.0,1.06,10.0,1.06,13.22,1
Australian Open,Hard,1st Round,Nishioka Y.,Ymer M.,33.0,69.0,1.91,1.91,2.02,1.88,1
Australian Open,Hard,1st Round,Griekspoor T.,Kotov P.,63.0,117.0,1.36,3.2,1.42,3.1,1
Australian Open,Hard,1st Round,Khachanov K.,Zapata Miralles B.,20.0,72.0,1.07,9.0,1.06,13.0,1
Australian Open,Hard,1st Round,Nadal R.,Draper J.,2.0,38.0,1.36,3.2,1.44,3.02,1
Australian Open,Hard,1st Round,Sonego L.,Borges N.,47.0,111.0,1.3,3.5,1.37,3.37,1
Australian Open,Hard,1st Round,Kubler J.,Baez S.,84.0,44.0,1.33,3.4,1.36,3.48,1
Australian Open,Hard,1st Round,Millman J.,Huesler M.A.,140.0,51.0,2.2,1.67,2.25,1.72,1
Australian Open,Hard,1st Round,Fucsovics M.,Coria F.,78.0,76.0,1.14,5.5,1.17,5.96,1
Australian Open,Hard,1st Round,Hijikata R.,Hanfmann Y.,169.0,128.0,2.0,1.8,1.98,1.93,1
Australian Open,Hard,1st Round,Auger-Aliassime F.,Pospisil V.,7.0,99.0,1.07,9.0,1.08,10.82,1
Australian Open,Hard,1st Round,Lestienne C.,Monteiro T.,55.0,77.0,2.1,1.73,2.19,1.76,1
Australian Open,Hard,1st Round,Medvedev D.,Giron M.,8.0,56.0,1.03,17.0,1.04,18.34,1
Australian Open,Hard,1st Round,Chardy J.,Galan D.E.,850.0,70.0,3.2,1.36,3.32,1.38,1
Australian Open,Hard,1st Round,Bonzi B.,Bellucci M.,48.0,152.0,1.4,3.0,1.4,3.23,1
Australian Open,Hard,1st Round,Djere L.,Bergs Z.,68.0,130.0,1.44,2.75,1.51,2.75,1
Australian Open,Hard,1st Round,Jarry N.,Kecmanovic M.,154.0,27.0,3.5,1.3,3.87,1.31,1
Australian Open,Hard,1st Round,Carreno Busta P.,Cachin P.,15.0,58.0,1.08,8.0,1.09,9.27,1
Australian Open,Hard,1st Round,Fritz T.,Basilashvili N.,9.0,90.0,1.03,17.0,1.04,16.86,1
Australian Open,Hard,1st Round,Shelton B.,Zhang Zh.,89.0,96.0,1.4,3.0,1.46,2.95,1
Australian Open,Hard,1st Round,Zverev A.,Varillas J. P.,13.0,103.0,1.06,10.0,1.1,8.9,1
Australian Open,Hard,1st Round,Brooksby J.,O Connell C.,39.0,80.0,1.44,2.75,1.49,2.84,1
Australian Open,Hard,1st Round,Popyrin A.,Tseng C. H.,113.0,115.0,1.17,5.0,1.16,6.33,1
Australian Open,Hard,1st Round,Djokovic N.,Carballes Baena R.,5.0,75.0,1.01,29.0,1.02,30.3,1
Australian Open,Hard,1st Round,Humbert U.,Gasquet R.,106.0,42.0,2.1,1.73,2.05,1.86,1
Australian Open,Hard,1st Round,Mannarino A.,Isner J.,45.0,43.0,2.0,1.8,2.01,1.9,1
Australian Open,Hard,1st Round,Bautista Agut R.,Sousa J.,25.0,81.0,1.08,8.0,1.09,9.27,1
Australian Open,Hard,1st Round,Cressy M.,Ramos-Vinolas A.,41.0,37.0,1.36,3.2,1.41,3.17,1
Australian Open,Hard,2nd Round,Sinner J.,Etcheverry T.,16.0,79.0,1.05,11.0,1.04,17.66,1
Australian Open,Hard,2nd Round,Mcdonald M.,Nadal R.,65.0,2.0,9.0,1.07,9.06,1.09,1
Australian Open,Hard,2nd Round,Fucsovics M.,Harris L.,78.0,186.0,1.8,2.0,1.91,1.98,1
Australian Open,Hard,2nd Round,Medvedev D.,Millman J.,8.0,140.0,1.02,19.0,1.02,27.6,1
